Date,Age,Tm,Opp,W/L,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-
2023-03-08,24-239,OKC,PHO,L (-31),Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive
2023-03-11,24-242,OKC,NOP,W (+14),37:04,11,23,.478,0,0,,13,13,1.000,1,5,6,2,4,1,1,3,35,+12
2023-03-12,24-243,OKC,SAS,W (+12),Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive
2023-03-14,24-245,OKC,BRK,W (+14),36:23,12,24,.500,1,1,1.000,10,12,.833,1,6,7,4,1,0,3,4,35,+12
2023-03-16,24-247,OKC,TOR,L (-17),34:52,12,19,.632,1,1,1.000,4,5,.800,2,1,3,3,2,0,3,1,29,-17
2023-03-19,24-250,OKC,PHO,W (+4),35:26,12,24,.500,0,0,,16,19,.842,0,5,5,4,1,0,3,2,40,+10
2023-03-21,24-252,OKC,LAC,W (+1),36:02,12,25,.480,1,4,.250,6,7,.857,0,7,7,4,0,0,4,4,31,-5
2023-03-23,24-254,OKC,LAC,L (-22),26:51,10,15,.667,1,1,1.000,9,9,1.000,0,4,4,3,1,3,2,2,30,-1
2023-03-24,24-255,OKC,LAL,L (-5),35:45,9,22,.409,1,3,.333,8,9,.889,0,5,5,8,1,1,2,4,27,+2
2023-03-26,24-257,OKC,POR,W (+6),35:10,9,17,.529,0,1,.000,13,15,.867,2,0,2,3,4,0,3,1,31,+1
2023-03-28,24-259,OKC,CHO,L (-3),Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive
2023-03-29,24-260,OKC,DET,W (+1),Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive
2023-03-31,24-262,OKC,IND,L (-4),38:14,11,22,.500,0,2,.000,17,17,1.000,0,9,9,4,1,1,3,6,39,
2023-04-02,24-264,OKC,PHO,L (-10),37:32,11,22,.500,0,0,,17,17,1.000,0,3,3,5,2,0,1,4,39,-6
2023-04-04,24-266,OKC,GSW,L (-11),33:41,11,17,.647,2,4,.500,8,9,.889,1,4,5,7,0,0,3,5,32,-9
2023-04-06,24-268,OKC,UTA,W (+16),37:43,7,19,.368,1,5,.200,7,10,.700,2,5,7,7,1,0,1,3,22,+7
2023-04-09,24-271,OKC,MEM,W (+15),Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive
2023-10-25,25-105,OKC,CHI,W (+20),36:01,12,18,.667,2,5,.400,5,5,1.000,0,5,5,10,1,2,1,0,31,+19
2023-10-27,25-107,OKC,CLE,W (+3),35:57,15,26,.577,2,2,1.000,2,2,1.000,1,10,11,4,5,1,5,2,34,+4
2023-10-29,25-109,OKC,DEN,L (-33),28:19,2,16,.125,0,4,.000,3,4,.750,1,3,4,7,1,0,0,2,7,-22
2023-10-30,25-110,OKC,DET,W (+12),32:52,11,23,.478,1,3,.333,9,9,1.000,1,8,9,4,3,0,5,2,32,+17
2023-11-01,25-112,OKC,NOP,L (-4),38:05,8,20,.400,0,5,.000,4,5,.800,0,5,5,8,3,0,2,2,20,+3
